,title,first_artist,all_artists,id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,loudness_norm,tempo_norm,key_norm,time_signature_norm,labels
377,Blood Sweat & Tears,BTS,['BTS'],5RGf8qn1TBWVplLyyKUsuV,0.583,0.885,0,-3.571,0,0.0244,0.0,0.35700000000000004,0.601,92.959,217052,4,0.8442603091534622,0.18318187343147846,0.0,1.0,1
378,來不及,劉瑞琦,['劉瑞琦'],2zjNk0Q9PdUTQUw16YmNni,0.36700000000000005,0.19399999999999998,8,-10.662,1,0.8809999999999999,5.49e-06,0.11599999999999999,0.332,142.791,258872,4,0.5006541648495421,0.5394784822073346,0.7272727272727273,1.0,2
379,Just a Dream (MENG YI CHANG),Olivia Ong,['Olivia Ong'],2x3r1z1EzMQpDC6CrRJ0tx,0.36,0.27399999999999997,2,-10.422,1,0.9179999999999999,0.0,0.131,0.332,207.17700000000002,230507,4,0.5122837621747347,0.9998355510113617,0.18181818181818182,1.0,2
380,零界點 On Fire,Lu Han,"['Lu Han', 'AR']",4FwTLqe3Gvljt9VPTj2ho5,0.6809999999999999,0.914,11,-5.091,0,0.0332,1.09e-06,0.33399999999999996,0.36700000000000005,153.81799999999998,216906,4,0.7706061927605756,0.6183210473255589,1.0,1.0,3
381,那些年,MICappella,['MICappella'],627VX3c9q5VJNLk6H6b639,0.48700000000000004,0.363,4,-9.655,1,0.805,0.0,0.182,0.139,78.094,297987,4,0.5494500169598295,0.07689777707867101,0.36363636363636365,1.0,2
382,你就像個小孩,A-do,['A-do'],28dE9cYKOwjtMPCNdxOBNq,0.593,0.462,4,-6.081,1,0.664,0.0,0.0988,0.233,119.927,270678,4,0.7226341037941562,0.3760018875883914,0.36363636363636365,1.0,2
383,Kong,Justin Lo,['Justin Lo'],4nTY9wx51mR51Pbo5ETuhZ,0.603,0.33799999999999997,1,-13.619000000000002,1,0.563,0.0,0.10400000000000001,0.341,133.975,244019,4,0.35736783447206466,0.4764444698665104,0.09090909090909091,1.0,2
384,時差 On call,Lu Han,['Lu Han'],4rhGO5Y8NzCHVt37jPaOLI,0.601,0.529,4,-7.2410000000000005,0,0.19,0.0,0.107,0.281,131.066,199504,4,0.6664243833890584,0.45564524778172627,0.36363636363636365,1.0,1
385,Good day,IU,['IU'],1SwZVVH9BnXtLRLi2cbFhw,0.643,0.878,9,-2.998,1,0.163,0.0,0.105,0.583,128.035,233613,4,0.8720259727673596,0.43397373106155407,0.8181818181818182,1.0,4
386,思念是一種病,Zhang Zhen Yue,['Zhang Zhen Yue'],5JaPBs2aQjEfLwM5kVb4jq,0.818,0.483,2,-4.974,1,0.0581,0.000509,0.122,0.449,90.025,255721,4,0.7762756214566071,0.16220390244600008,0.18181818181818182,1.0,0
387,天使也會受傷,小男孩樂團,['小男孩樂團'],3gLBLSmqKSMys9kYcEFDbH,0.532,0.7120000000000001,6,-6.348,1,0.007559999999999999,0.0,0.0991,0.47700000000000004,126.124,289259,4,0.7096961767698793,0.4203101650924847,0.5454545454545454,1.0,4
388,Outro: Wings,BTS,['BTS'],1yEzWCIc2MUt9Fw1p25YUo,0.654,0.903,11,-3.117,0,0.00503,0.0,0.0875,0.659,124.988,225447,4,0.8662596307602849,0.41218781504493757,1.0,1.0,3
389,Hobgoblin,CLC,['CLC'],2JTjDYA0vfx8sp5XMTbeqU,0.621,0.873,11,-2.888,0,0.0194,0.0,0.488,0.401,169.91,210478,4,0.8773562048747395,0.7333781397244408,1.0,1.0,3
390,長城,Beyond,['Beyond'],7rr7x93CJNAhQv5jXDjRe6,0.39399999999999996,0.7709999999999999,7,-6.079,1,0.326,1.15e-06,0.11,0.307,157.072,290160,4,0.7227310171051995,0.6415870042399241,0.6363636363636364,1.0,4
391,愛*轉角,Show Luo,['Show Luo'],1TFGynJGpBUBJBoH4AO26g,0.634,0.402,8,-8.781,1,0.738,0.0,0.12300000000000001,0.23199999999999998,147.031,293933,4,0.5918011338857392,0.5697942957650812,0.7272727272727273,1.0,2
392,Skin to skin,Lu Han,['Lu Han'],6U3MZ11t5sy4zkYAytZ5R1,0.5479999999999999,0.47700000000000004,11,-7.563,0,0.599,0.0033299999999999996,0.0806,0.309,167.87400000000002,216333,4,0.6508213403110917,0.7188208292519005,1.0,1.0,3
393,Bubble Pop!,HyunA,['HyunA'],59JkwCdGIMTZYb0j75vebU,0.833,0.872,10,-4.658,0,0.0731,0.000839,0.292,0.774,145.97299999999998,212271,4,0.791587924601444,0.5622296422877,0.9090909090909092,1.0,3
394,One Dance,Drake,"['Drake', 'WizKid', 'Kyla']",12VWzyPDBCc8fqeWCAfNwR,0.792,0.625,1,-5.609,1,0.0077599999999999995,0.0018800000000000002,0.32899999999999996,0.37,103.96700000000001,173987,4,0.7455056452003683,0.2618885893851754,0.09090909090909091,1.0,0
395,Black Beatles,Rae Sremmurd,"['Rae Sremmurd', 'Gucci Mane']",6fujklziTHa8uoM5OQSfIo,0.794,0.632,0,-6.162999999999999,1,0.142,0.0,0.128,0.355,145.92600000000002,291893,4,0.718660658041382,0.561893594354395,0.0,1.0,0
396,眉飛色舞,Sammi Cheng,"['Sammi Cheng', 'Simon Li @ Wave Studio(HK)']",2b7vlGKvSqwNftCncVHog0,0.792,0.907,3,-5.956,0,0.0327,0.107,0.284,0.823,139.991,196333,4,0.7286911857343605,0.5194586053295775,0.2727272727272727,1.0,1
